workerid,proliferate.condition,response,sentence,slide_number_in_experiment,strangeSentence,tgrep_id,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
120,experiment_06,"['elizabeth', 'Elizabeth']",,1,,bot_check,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,7,,4,,example1,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,2,,5,,example2,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,5,,7,0,9927:18:00,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,3,,8,1,4531:36:00,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,2,,9,0,163673:26,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,5,,10,0,112423:40,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,3,,11,0,148810:76,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,2,,12,0,106081:42,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,7,,13,0,115127:13,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,4,,14,0,90180:32,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,3,,15,0,58645:18,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,5,,16,0,172447:43,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,4,,17,0,39551:19,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,4,,18,0,8085:15:00,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,3,,19,0,148793:49,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,4,,20,1,74357:139,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,2,,21,0,61475:34,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,4,,22,1,87727:36,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,2,,23,0,176749:52,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
120,experiment_06,5,,24,1,173250:33,[],26,Yes,the conversations were very confusing. wish the phrase was said and i could read along but maybe thats a part of the survey,3,0,1,Female,english,Chrome,Mac,900,1440,10.783266666666666,
