workerid,proliferate.condition,response,sentence,slide_number_in_experiment,strangeSentence,tgrep_id,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
2,experiment_07,"['Sarah', 'Sarah']",,1,,bot_check,[],22,Confused,,3,1,1,Female,English,Chrome,Mac,900,1440,18.57425,
2,experiment_07,6,,4,,example1,[],22,Confused,,3,1,1,Female,English,Chrome,Mac,900,1440,18.57425,
2,experiment_07,6,,5,,example2,[],22,Confused,,3,1,1,Female,English,Chrome,Mac,900,1440,18.57425,
2,experiment_07,5,,5,,example2,[],22,Confused,,3,1,1,Female,English,Chrome,Mac,900,1440,18.57425,
2,experiment_07,4,,5,,example2,[],22,Confused,,3,1,1,Female,English,Chrome,Mac,900,1440,18.57425,
2,experiment_07,3,,5,,example2,[],22,Confused,,3,1,1,Female,English,Chrome,Mac,900,1440,18.57425,
2,experiment_07,4,,7,1,26848:18,[],22,Confused,,3,1,1,Female,English,Chrome,Mac,900,1440,18.57425,
2,experiment_07,6,,8,0,25772:55,[],22,Confused,,3,1,1,Female,English,Chrome,Mac,900,1440,18.57425,
2,experiment_07,6,,9,0,45170:26,[],22,Confused,,3,1,1,Female,English,Chrome,Mac,900,1440,18.57425,
2,experiment_07,2,,10,0,62250:48,[],22,Confused,,3,1,1,Female,English,Chrome,Mac,900,1440,18.57425,
2,experiment_07,6,,11,0,19512:11,[],22,Confused,,3,1,1,Female,English,Chrome,Mac,900,1440,18.57425,
2,experiment_07,2,,12,0,109227:56,[],22,Confused,,3,1,1,Female,English,Chrome,Mac,900,1440,18.57425,
2,experiment_07,5,,13,0,122899:21,[],22,Confused,,3,1,1,Female,English,Chrome,Mac,900,1440,18.57425,
2,experiment_07,4,,14,0,46764:31,[],22,Confused,,3,1,1,Female,English,Chrome,Mac,900,1440,18.57425,
2,experiment_07,4,,15,0,114738:50,[],22,Confused,,3,1,1,Female,English,Chrome,Mac,900,1440,18.57425,
2,experiment_07,2,,16,0,87943:11,[],22,Confused,,3,1,1,Female,English,Chrome,Mac,900,1440,18.57425,
