workerid,proliferate.condition,response,sentence,slide_number_in_experiment,strangeSentence,tgrep_id,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error,Sentence,HaveNeedTo,Finite,ModalPresent,QuestionType,EmbeddedSQ,DegreeQ,SubjectAuxInv,WhAll,WhAdvP,MatrixNegPresent,EmbeddedNegPresent,SbarNomPresent,QuantifiedSubject,QuantifiedPredicate,Wh,MatrixSubject,MatrixNegation,InvertedAuxVerb,MatrixPredAux,MatrixPredVerb,MatrixPredOther,MatrixPredParticle,MatrixPred2,Modal,EmbeddedSubject,EmbeddedNegation,Verb1,Verb2,Verb3,DeterminerSubject,DeterminerNonSubject,FullWhPhrase,JustMatrixClause,DeterminerSubjPresent,DeterminerNonSubjPresent,WhNode,WhParse,Question,SentenceParse,WhPhaseType,IdentityQ
8,experiment_01,7,NA,7,0,151728:33,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,"so i, i kind of know how * to do these things *t*-1.",no,no,no,embedded,,no,,,yes,,,,,,how,i,,,,know,,,,,*,,do,,,,these things,,"so i, i kind of know how * to do these things *t*-1.",no,no,NA,(WRB how),how * to do these things *t*-1,"(TOP (S (RB so) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (RS (-DFL- \])) (ADVP (RB kind) (RB of)) (VP (VBP know) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (DT these) (NNS things)) (ADVP-MNR (-NONE- *T*-1))))))) (. .) (-DFL- E_S)))",monomorphemic,no
8,experiment_01,6,NA,8,0,14735:59,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,"and we're just really, uh, uh, now, trying *-1 to, uh, figure out how * to cope with the problem *t*-3 because it has grown so huge.",no,no,no,embedded,,no,,,yes,,,,,,how,*-1,,,'re,figure,,,,,*,,cope,,,,the problem,,"*-1 to, uh, figure out how * to cope with the problem *t*-3 because it has grown so huge",no,no,NA,(WRB how),how * to cope with the problem *t*-3,"(TOP (S (CC and) (NP-SBJ-1 (PRP we)) (VP (VBP 're) (ADVP (RB just)) (ADVP (RB really)) (, ,) (INTJ (UH uh)) (, ,) (INTJ (UH uh)) (, ,) (ADVP-TMP (RB now)) (, ,) (VP (VBG trying) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (, ,) (INTJ (UH uh)) (, ,) (VP (VB figure) (PRT (RP out)) (SBAR (WHADVP-3 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB cope) (PP (IN with) (NP (DT the) (NN problem))) (ADVP-MNR (-NONE- *T*-3)))))) (SBAR-PRP (IN because) (S (NP-SBJ (PRP it)) (VP (VBZ has) (VP (VBN grown) (ADJP-PRD (RB so) (JJ huge))))))))))) (. .) (-DFL- E_S)))",monomorphemic,no
8,experiment_01,2,NA,9,0,31157:19,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,"and even if i knew how * to teach the subject matter *t*-1, i don't know if i'd know how * to handle that kind of a, a group of kids *t*-2.",no,no,no,embedded,,no,,,yes,,,,,,how,i,,,do,knew,,,,,*,,teach,,,,the subject matter,,i knew how * to teach the subject matter *t*-1,no,no,NA,(WRB how),how * to teach the subject matter *t*-1,"(TOP (S (CC And) (SBAR-ADV (RB even) (IN if) (S (NP-SBJ (PRP I)) (VP (VBD knew) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB teach) (NP (DT the) (NN subject) (NN matter)) (ADVP-MNR (-NONE- *T*-1))))))))) (, ,) (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP-SBJ (PRP I)) (VP (MD 'd) (VP (VB know) (SBAR (WHADVP-2 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB handle) (NP (NP (DT that) (NN kind)) (PP (IN of) (EDITED (RM (-DFL- \[)) (NP-UNF (DT a)) (, ,) (IP (-DFL- \+))) (NP (NP (DT a) (RS (-DFL- \])) (NN group)) (PP (IN of) (NP (NNS kids)))))) (ADVP-MNR (-NONE- *T*-2)))))))))))) (. .) (-DFL- E_S)))",monomorphemic,no
8,experiment_01,3,NA,10,0,114731:36,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,i've heard that people that *t*-1 finally learn how * to use it *t*-2 really like it.,no,no,no,embedded,,no,,,yes,,,,,,how,*t*-1,,,'ve,learn,,,,,*,,use,,,,,how,*t*-1 finally learn how * to use it *t*-2,no,no,NA,(WRB how),how * to use it *t*-2,(TOP (S (NP-SBJ (PRP I)) (VP (VBP 've) (VP (VBN heard) (SBAR (IN that) (S (NP-SBJ (NP (NNS people)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (-NONE- *T*-1)) (ADVP-TMP (RB finally)) (VP (VBP learn) (SBAR (WHADVP-2 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB use) (NP (PRP it)) (ADVP-MNR (-NONE- *T*-2)))))))))) (ADVP (RB really)) (VP (VBP like) (NP (PRP it))))))) (. .) (-DFL- E_S))),monomorphemic,no
8,experiment_01,6,NA,11,0,133817:19,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,"i don't know even how *-1 to say *t*-2,",no,no,no,embedded,,no,,,yes,yes,,,,,how,i,n't,,do,know,,,,,*-1,,say,,,,,,"i don't know even how *-1 to say *t*-2,",no,no,NA,(WRB how),how *-1 to say *t*-2,"(TOP (S (NP-SBJ-1 (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (ADVP (RB even)) (SBAR (WHADVP-2 (WRB how)) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP-UNF (VB say) (ADVP-MNR (-NONE- *T*-2)))))))) (, ,) (-DFL- N_S)))",monomorphemic,no
8,experiment_01,6,NA,12,0,91275:50,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,"and, um, you know, i, i didn't know what * to expect *t*-1, except 0 i had heard that, that jane austen was such a wonderful novelist,",yes,no,no,embedded,,no,,,,yes,,,,,what,i,n't,,,know,,,,,*,,expect,except,had,,such a wonderful novelist,,"and, um, you know, i, i didn't know what * to expect *t*-1, except 0 i had heard that, that jane austen was such a wonderful novelist,",no,no,NA,(WP what),"what * to expect *t*-1, except 0 i had heard that, that jane austen was such a wonderful novelist","(TOP (S (CC And) (, ,) (INTJ (UH um)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (VBD did) (RB n't) (VP (VB know) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB expect) (NP (-NONE- *T*-1)) (, ,) (PP (VB except) (SBAR (-NONE- 0) (S (NP-SBJ (PRP I)) (VP (VBD had) (VP (VBN heard) (SBAR (EDITED (RM (-DFL- \[)) (SBAR-UNF (IN that)) (, ,) (IP (-DFL- \+))) (IN that) (RS (-DFL- \])) (S (NP-SBJ (NNP Jane) (NNP Austen)) (VP (VBD was) (NP-PRD (PDT such) (DT a) (JJ wonderful) (NN novelist)))))))))))))))) (, ,) (-DFL- E_S)))",monomorphemic,yes
8,experiment_01,6,NA,13,0,117586:18,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,"and i did not know what * to expect *t*-1 from a dog *-2 having not had one,",no,no,no,embedded,,no,,,,yes,,,,,what,i,not,,,know,,,,,*,,expect,,,,a dog,,"and i did not know what * to expect *t*-1 from a dog *-2 having not had one,",no,no,NA,(WP what),what * to expect *t*-1 from a dog,"(TOP (S (CC and) (NP-SBJ-2 (PRP I)) (VP (VBD did) (RB not) (VP (VB know) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB expect) (NP (-NONE- *T*-1)) (PP (IN from) (NP (DT a) (NN dog))))))) (S-ADV (NP-SBJ (-NONE- *-2)) (VP (VBG having) (RB not) (VP (VBN had) (NP (CD one))))))) (, ,) (-DFL- E_S)))",monomorphemic,no
8,experiment_01,7,NA,14,0,42920:16,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,"well, i know how * to use one *t*-1.",no,no,no,embedded,,no,,,yes,,,,,one,how,i,,,,know,,,,,*,,use,,,,,,"well, i know how * to use one *t*-1.",no,no,NA,(WRB how),how * to use one *t*-1,"(TOP (S (INTJ (UH Well)) (, ,) (NP-SBJ (PRP I)) (VP (VBP know) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB use) (NP (CD one)) (ADVP-MNR (-NONE- *T*-1))))))) (. .) (-DFL- E_S)))",monomorphemic,no
8,experiment_01,4,NA,15,0,155619:56,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,"you know the fam-, well the families do not necessarily, uh, know what * to do *t*-1 with them",no,no,no,embedded,,no,,,,yes,,,,,what,the families,not,,do,know,,,,,*,,do,,,,,,"you know the fam-, well the families do not necessarily, uh, know what * to do *t*-1 with them",no,no,NA,(WP what),what * to do *t*-1 with them,"(TOP (S (PRN (S (NP-SBJ (PRP You)) (VP (VBP know)))) (EDITED (RM (-DFL- \[)) (NP-SBJ-UNF (DT the) (NN fam-)) (, ,) (IP (-DFL- \+))) (INTJ (UH well)) (NP-SBJ (DT the) (NNS families)) (RS (-DFL- \])) (VP (VBP do) (RB not) (ADVP (RB necessarily)) (, ,) (INTJ (UH uh)) (, ,) (VP (VB know) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (-NONE- *T*-1)) (PP (IN with) (NP (PRP them))))))))) (-DFL- E_S)))",monomorphemic,no
8,experiment_01,6,NA,16,0,176811:47,[],45,Yes,NA,4,2,1,Male,English,Chrome,Mac,900,1440,10.81345,NA,"a-, and you knew how, you knew how * to do the framing *t*-1?",no,no,no,embedded,,no,,,yes,,,,,,how,you,,,,knew,,,,,*,,do,,,,the framing,,"a-, and you knew how, you knew how * to do the framing *t*-1?",no,no,NA,(WRB how),how * to do the framing *t*-1,"(TOP (S (EDITED (RM (-DFL- \[)) (CC A-) (, ,) (IP (-DFL- \+))) (CC and) (RS (-DFL- \])) (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP you)) (VP (VBD knew) (SBAR-UNF (WHADVP (WRB how))))) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP you)) (VP (VBD knew) (SBAR (WHADVP-1 (WRB how)) (RS (-DFL- \])) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (DT the) (NN framing)) (ADVP-MNR (-NONE- *T*-1))))))) (. ?) (-DFL- E_S)))",monomorphemic,yes
