TGrepID	EntireSentence	PreceedingContext	Wh	Question	Matrix	punct	ShouldParaphrase	CouldParaphrase
45116:18	but i did not know <b>how * to use those voting machines</b> *t*-1	"###speakerb108.###that's right.###speakera109.###i mean, you know, it would have *-1 to be a child that *t*-2 is just coming into school.###because, well i'll tell you another thing too now.### whenever, the first time 0 i voted *t*-2, i never voted in high school because there was never anyone that *t*-1 showed us how * to use the voting machines *t*-3,###speakerb110.###uh-huh.###speakera111.###now this sounds dumb,"	how	how * to use those voting machines *t*-1	but i did not kno 	w	I did not know how I <b>should</b> use those voting machines.	I did not know how I <b>could</b> use those voting machines.
50809:76	"but i don't know if they really had significant effects in the places where they went *t*-2, in *-3 teaching the people <b>how * to cope with their lives better</b> *t*-1."	"###and it really did seem *-1 to be a worthwhile organization,###but on the other hand, i'm not sure what the permanent value of it was *t*-1.###i don't, know what we got *t*-1 for all the money.###speakerb50.###uh-huh.###speakera51.###we had an awful lot of idealistic people who *t*-1 went off to, uh, what *t*-2 was then east pakistan is now bangladesh, and to, uh, algeria and to, uh, southeast asia and lots of, uh, out-of-the-way places.###speakerb52.###uh-huh.###speakera53."	how	how * to cope with their lives better *t*-1	"but i don't know if they really had significant effects in the places where they went *t*-2, in *-3 teaching the people  "	.	"I don't know if they really had significant effects in the places where they went, in teaching the people how they <b>should</b> cope with their lives better."	"I don't know if they really had significant effects in the places where they went, in teaching the people how they <b>could</b> cope with their lives better."
59470:107	"but, uh, i certainly agree that if someone owns a fire arm that have as much responsibility * to know how * do, use it safely *t*-2 as someone learns <b>how * to drive</b> *t*-1, if not more so."	"###uh-huh.###well, we can could be,###speakerb46.###i said 0 the restrictions 0 i would like *-1 to see *t*-2 on, for anybody, whether it being for handgun, a rifle, a shotgun,###i would like *-1 to see them go through either,###i'd like *-1 to see a law enforcement agency, not n r a,###but whether it be the, your state police or your county police for you to be able purchase a handgun. you got *-1 to go through their course and get certified *-2 that you know how * to properly handle the weapon *t*-1, how * to safely handle the weapon *t*-3, how * to properly maintain it *t*-4, the three basics.###speakera47.###well, that makes a lot of since to me.###i mean, i certainly feel that if, if, we may disagree on when someone should own a fire arm *t*-1"	how	how * to drive *t*-1	"but, uh, i certainly agree that if someone owns a fire arm that have as much responsibility * to know how * do, use it safely *t*-2 as someone learns , if not more so "	.	"I certainly agree that if someone owns a fire arm that have as much responsibility to know how do, use it safely  as someone learns how they <b>should</b> drive, if not more so."	"I certainly agree that if someone owns a fire arm that have as much responsibility to know how do, use it safely  as someone learns how they <b>could</b> drive, if not more so."
86707:53	"and he took me out with him and, uh, single shot twenty-two, and taught me <b>how * to shoot</b> *t*-1."	"###speakerb116.###but at least it was a b b gun not a twenty-two or a four ten or something###so,###speakera117.###i remember 0 i had an old uncle up by tulsa, oklahoma that *t*-1 took me out and, uh, showed me.### this was, it was not my, it was my mother's uncle,###this was a gentleman in his sixties,###speakerb118.###um.###speakera119."	how	how * to shoot *t*-1	"and he took me out with him and, uh, single shot twenty-two, and taught me  "	.	"He took me out with him and, uh, single shot twenty-two, and taught me how I <b>should</b> shoot."	"He took me out with him and, uh, single shot twenty-two, and taught me how I <b>could</b> shoot."
87941:11	she knows <b>how * to do that</b> *t*-1.	"###she is *?*.###she's rich.###speakera55.###yeah,###and she's rich###and she,###yeah,###so.###speakerb56.###mumblex she's smart at what she does *t*-1."	how	how * to do that *t*-1	she knows  	.	She knows how she <b>should</b> do that.	She knows how she <b>could</b> do that.
120021:35	you just get a book that *t*-1 tells you <b>how * to do it</b> *t*-2 or what?	"###speakerb24.###oh, my gosh.###speakera25.###but it was fun.###i really enjoyed it.###speakerb26.###well, how'd you learn *-1 to do that to fix them up *t*-2?###speakera27.###oh, you just,###speakerb28."	how	how * to do it *t*-2	you just get a book that *t*-1 tells you  or what 	?	You just get a book that tells you how you <b>should</b> do it or what?	You just get a book that tells you how you <b>could</b> do it or what?
71768:54	"i mean, they, they, they really know <b>how *-2 to isolate each of the different muscle groups</b>, with those things *t*-1"	"###speakera127.###speakerb128.###i'd rather just be the student,.###and, uh, occasionally i do the weights *ich*-1 at the health club but low weights just...###speakera129.###yeah.###speakerb130.###speakera131.###yeah,### the, uh, the, some of the nautilus equipment that i started *-1 seeing *t*-2 at the one that we used *-3 to go to *t*-4 was really interesting,"	how	"how *-2 to isolate each of the different muscle groups, with those things *t*-1"	"i mean, they, they, they really kno "	w	"They really know how they <b>should</b> isolate each of the different muscle groups, with those things."	"They really know how they <b>could</b> isolate each of the different muscle groups, with those things."
31157:69	"and even if i knew how * to teach the subject matter *t*-1, i don't know if i'd know <b>how * to handle that kind of a, a group of kids</b> *t*-2."	"###i don't know anything about it.###speakerb31.###that's pretty interesting because just, just because you know a subject matter doesn't mean 0 you can teach it.###speakera32.###speakerb33.###speakera34.###right.###speakerb35.###speakera36.###right."	how	"how * to handle that kind of a, a group of kids *t*-2"	"and even if i knew how * to teach the subject matter *t*-1, i don't know if i'd know  "	.	"I don't know if I'd know how I <b>should</b> handle that kind of a, a group of kids."	"I don't know if I'd know how I <b>could</b> handle that kind of a, a group of kids."
45111:93	"whenever, the first time 0 i voted *t*-2, i never voted in high school because there was never anyone that *t*-1 showed us <b>how * to use the voting machines</b> *t*-3."	"###i think 0 that sounds great.###speakerb106.###you know, it's going *-1 to take the, uh, a whole generation of my feeling, uh, before that's going *-2 to be accomplished *-2.###speakera107.###well, you know, they'd have *-1 to start when they're real young *t*-2.###speakerb108.###that's right.###speakera109.###i mean, you know, it would have *-1 to be a child that *t*-2 is just coming into school.###because, well i'll tell you another thing too now."	how	how * to use the voting machines *t*-3	whenever  the first time 0 i voted *t*-2  i never voted in high school because there was never anyone that *t*-1 showed us  	","	I never voted in high school because there was never anyone that  showed us how we <b>should</b> use the voting machines.	I never voted in high school because there was never anyone that  showed us how we <b>could</b> use the voting machines.
45146:25	"and, uh, i didn't know <b>how *-2 to work the machine</b>, you know *t*-1."	###speakerb120.###well###sure it is *?*.###speakera121.###now that's bad.###and i mean i was out of school.###i was a married person.###speakerb122.###uh-huh.###speakera123.	how	"how *-2 to work the machine, you know *t*-1"	"and, uh, i didn't know  "	.	"I didn't know how I <b>should</b> work the machine, you know."	"I didn't know how I <b>could</b> work the machine, you know."
