TGrepID	EntireSentence	PreceedingContext	Wh	Question	Matrix	punct
50809:76	but i don't know if they really had significant effects in the places where they went *t*-2, in *-3 teaching the people how * to cope with their lives better *t*-1.	###and it really did seem *-1 to be a worthwhile organization,###but on the other hand, i'm not sure what the permanent value of it was *t*-1.###i don't, know what we got *t*-1 for all the money.###speakerb50.###uh-huh.###speakera51.###we had an awful lot of idealistic people who *t*-1 went off to, uh, what *t*-2 was then east pakistan is now bangladesh, and to, uh, algeria and to, uh, southeast asia and lots of, uh, out-of-the-way places.###speakerb52.###uh-huh.###speakera53.	how	how * to cope with their lives better *t*-1	but i don't know if they really had significant effects in the places where they went *t*-2, in *-3 teaching the people  	.
57302:38	but now i've, i've learned how *-1 to sew *t*-2,	###boy i have *-1 to, hunt them down.###speakera65.### sh-, she'll buy a lot of, sh-, yeah, she'll buy a lot clothes, at the end of seasons, you know, and, uh, just have them for the next year.###speakerb66.###speakera67.###speakerb68.###uh-huh.###speakera69.###and she, you know, she finds all the outlets and all the discount places and, uh, buys clothes.###uh, whe-, you know, when they were coming up *t*-1, i, i didn't sew,	how	how *-1 to sew *t*-2	but now i've  i've learned  	,
46762:16	i don't know how *-2 to explain *t*-1,	###they're a lot,###i don't like the new style, like of the toyota van, and the, the new chevy lumina van,###speakerb48.###uh-huh.###speakera49.###speakerb50.###uh-huh.###speakera51.###i don't like those styles, um,###the m p v is more of, uh, uh, just, uh, i don't know what you, normal,,	how	how *-2 to explain *t*-1	i don't know  	,
45146:25	and, uh, i didn't know how *-2 to work the machine, you know *t*-1.	###speakerb120.###well###sure it is *?*.###speakera121.###now that's bad.###and i mean i was out of school.###i was a married person.###speakerb122.###uh-huh.###speakera123.	how	how *-2 to work the machine, you know *t*-1	and, uh, i didn't know  	.
4531:36	and more and more people start *-2 believing them or wondering how * to combine them with other things *t*-1,	###and, part of it is 0 california, you know, in, back in the sixties, had a lot of alternative movements###speakerb98.###speakera99.###and some of them fizzled out###and some of them were disastrous###and others of them, um, had an impact on the society around here.###and one of the ones that *t*-1 had an impact was, uh, people becoming interested in alternate practices,###i'm not sure if it was a meditation practice, or if it was, you know, which *t*-1 is similar to a stress management practice or alternates to, uh, a m a approved medicine.###uh, you have, you know, major, um, acupuncture schools and things out here.### and, and you could have them around long enough	how	how * to combine them with other things *t*-1	and more and more people start *-2 believing them or wondering  	,
22314:16	i don't know how * to make it better for them *t*-1	###uh-huh.###speakera77.###speakerb78.###yeah,###speakera79.###speakerb80.###and what do those kids do *t*-1,###they get it at school and come home,###what do they do *t*-1 then.### i, i feel, i feel for them,	how	how * to make it better for them *t*-1	i don't kno 	w
34142:114	even after you wait your nine days, if you don't know how * to handle it *t*-1, it's just like * putting someone *ich*-4 in an automobile that *t*-2 doesn't know how * to drive *t*-3.	###i think that, that the gun clubs serve a useful purpose.###in fact, i'd like *-1 to see 0 somehow they tie the legislation into not only when you buy a weapon *t*-2 you have * to, uh, show that you've gone to school or gone to some class * to know how * to handle that weapon *t*-3.###speakera67.###that's a good,###i've never thought of that.###speakerb68.###speakera69.###that's a good point.###speakerb70.###and, you know, it, it,	how	how * to drive *t*-3	even after you wait your nine days, if you don't know how * to handle it *t*-1, it's just like * putting someone *ich*-4 in an automobile that *t*-2 doesn't know  	.
105552:54	it's just a problem that p-, no one is sure just how * to handle *t*-2 *t*-1 i think 0 *t*-3.	###speakera57.###oh, yes.###speakerb58.###speakera59.###uh-huh.###speakerb60.###speakera61.###that's right.###speakerb62.###and, uh,, i don't know,	how	just how * to handle *t*-2 *t*-1	it's just a problem that p-, no one is sure  i think 0 *t*-3 	.
114731:36	i've heard that people that *t*-1 finally learn how * to use it *t*-2 really like it.	###that's something 0 we want *-1 to learn *t*-2.###speakera61.###yeah,###it's really,###i love lotus.###speakerb62.###oh.###speakera63.###i think 0 that's about my favorite.###speakerb64.	how	how * to use it *t*-2	i've heard that people that *t*-1 finally learn  really like it 	.
54036:19	i don't even know how * to knit *t*-1	###but, you know, it's nothing that i, can really,###speakera35.###it's not, like you sit and knit every night.###speakerb36.###speakera37.###speakerb38.###no.###not at all.###speakera39.###yeah.	how	how * to knit *t*-1	i don't even kno 	w
161808:39	well, actually, i, i've known how * to sail *t*-1 pretty much my whole life.	###like those catamarans are pretty fast.###speakerb72.###yeah,###what,###speakera73.###you can actually,###speakerb74.###* do, if you get one like that do have somebody teach you that###or they just,###speakera75.	how	how * to sail *t*-1	well, actually, i, i've known  pretty much my whole life 	.
48297:67	and i think 0 it's good that everyb-, and i think 0 everybody should learn how *-2 to handle one *t*-3.	###but good thing 0 they had their gun on them###and they, they thwarted the robbery attempt.###speakerb26.###yeah,### i, i'm, i'm not really sure,### i don't, personally i don't own a gun,###speakera27.###uh-huh.###speakerb28.###um, and i don't think 0 i probably ever would *?*, um, although i would like *-1 to know how *-2 to handle one *t*-3,	how	how *-2 to handle one *t*-3	and i think 0 it's good that everyb-, and i think 0 everybody should learn  	.
176749:52	we don't, we, we weren't sure how * to do that *t*-1	### that, that was fairly large undertaking.### a, a, it's a bedroom and a walk-in closet and a bathroom all on one side of the house.###speakera5.###* did the framing and all?###speakerb6.###oh, we did it all except for the sheetrocking.###speakera7.###huh.###speakerb8.###that was the only thing 0 we didn't, you know, * putting the ceiling up and things like that	how	how * to do that *t*-1	w  don't, w , w  w r n't sur 	e
107569:49	so i kind of know how it *exp*-4 is * to, how *-1 to decide if you want *-2 to put somebody in a rest home *t*-3	###have you *?*?###speakerb2.###um, actually i have, um, i've, i've been in them but, um, * just visiting###and, uh, we used *-1 to g-,###when we were like in, in our teen ages *t*-2 we'd go on sundays and visit, you know, the older people.###but, um, i have an elderly grandma that *t*-1 lives with us.###speakera3.###uh-huh.###speakerb4.###and she's lived with us for like five years.	how	how it *exp*-4 is * to, how *-1 to decide if you want *-2 to put somebody in a rest home *t*-3	so i kind of kno 	w
148810:76	oh, i would, i really would love *-1 to go *-3 take a class in woodworking and learn how * to *?* *t*-2.	###speakerb76.###oh, so yours is mostly just a hobby, too, then.###speakera77.###yeah.###speakerb78.###oh.###speakera79.###yeah.###speakerb80.###well, that is interesting.	how	how * to *?* *t*-2	oh, i would, i really would love *-1 to go *-3 take a class in woodworking and learn  	.
91275:50	and, um, you know, i, i didn't know what * to expect *t*-1, except 0 i had heard that, that jane austen was such a wonderful novelist,	###speakera79.###speakerb80.###by jane austen,###yes.###speakera81.###that's what it was *t*-1,###yes.###speakerb82.###yes.###speakera83.	what	what * to expect *t*-1, except 0 i had heard that, that jane austen was such a wonderful novelist	and  um  you know  i  i didn't know  	,
39551:19	and i have been debating what *-2 to cook *t*-1 because one of my guests is a vegetarian.	###i'll bet 0 that is really good.###speakera137.###it makes a great sandwich.###speakerb138.###man,###i'm going *-1 to have *-2 to think of that.###we're getting company tonight,###speakera139.###oh, are you *?*.###speakerb140.	what	what *-2 to cook *t*-1	and i have been debating  because one of my guests is a vegetarian 	.
155619:56	you know the fam-, well the families do not necessarily, uh, know what * to do *t*-1 with them	###they really are *?*.###they don't like *-1 to keep them longer than a week.###speakerb23.### so so there is some good to it.###speakera24.###speakerb25.###speakera26.###yeah.###speakerb27.###uh, sometimes too, it's used *-1 as a dumb job.	what	what * to do *t*-1 with them	you kno  the fam-,  ell the families do not necessarily, uh, kno 	w
14829:73	it's like, those guys, at one point, you know, they had so much money that they didn't know what * to do *t*-1 with it.	###nope,###i only heard about it.###speakera83.###okay,###in one part, the guy goes out of jail,###and within, uh, two months, he has all his house payments gone * everything paid *, you know,###speakerb84.###uh-huh.###speakera85.###and he had enough money * to, you know,	what	what * to do *t*-1 with it	it's like, those guys, at one point, you know, they had so much money that they didn't know  	.
26848:18	but they don't know where * to go *t*-1 *-2 to, to, to do anything.	###yeah.###speakerb103.###and you, you give them your speech and maybe a little slide show or something,###speakera104.###uh-huh.###speakerb105.###and, i think, that they could get some results from that, because there are a lot of people who *t*-1 are volunteer and community minded,###speakera106.###right.###speakerb107.	where	where * to go *t*-1 *-2 to, to, to do anything	but they don't know  	.
